S,Trip Name,Category.01,Category.02,Category.03,Selling PRC,Min Selling,Net PRC,Supplier,Duration,Short Description,WhatsApp Catalog Link,Video,Album
11,برنامج بي بي بقارب Whale shark - عالي الجودة,Phi Phi,Luxury Trips,,4450,4200,3200,Love Andaman,Full Day,"⚠️ قارب كتمران بخدمه عاليه ويتميز بانه يشمل حتى القارب الخشبي المتميز في التصوير لجانب انه يمنحك وقت اضافي للتجول في شوارع جزيره بيبي دونت عكس باقي البرامج التي تعطيك وقت غير كافي كما انه يتميز بانه يعطيك وقفه مخصصه للالعاب المائيه

07.00 الاستلام من ريسبشن الفندق الوصول الميناء الخاص

09.00 تسجيل الوصول - الوصول إلى الميناء لتسجيل الوصول استمتع بوجبة الإفطار الترحيبية والحلويات.

09.30 الاستعداد لمغادرة الميناء - تقديم البرنامج من قبل مرشدنا السياحي حول الجولة وخط سير الرحلة

10.00 المغادرة بواسطة قارب whale shark - التوجه إلى Phi Phi Leh الإبحار بالقارب السريع المجهز بالكامل ومشاهدة المناظر الطبيعية الجميلة استمتع برحلتك

زيارة Pile Lagoon - المعروف باسم ""حمام السباحة في البحر"" استمتع بالسباحة في المياه الخضراء الزمردية المحاطة بالجبال الحجرية الركوب على القارب ذو الذيل الطويل الخشبي التايلندي التقليدي الرائع في التصوير

نحن نضم قاربًا خشبيا لـ 6-8 أشخاص لتجربة القارب ذو الذيل الطويل لمدة 45 دقيقة (قارب طويل بمحرك صغير يقود مروحة في نهاية عمود طويل) بالنسبة للقارب ذو الذيل الطويل الخاص يرجى الحجز مسبقًا.

12.10 خلیج Maya Bay - مشاهدة المناظر في الشاطئ الرملي الأبيض النقي على شكل الهلال المخفي في الجبل الجيري الضخم قد تم اختياره ليكون موقع تصوير الفيلم بعنوان ""The Beach"".

13.30 خليج Ton Sai Bay في جزيرة  Phi Phi Don - وقت الغداء في مطعم Ton Sai على شاطئ Phi Phi Don، استمتع ببوفيه غداء لذيذ بما في ذلك الحلويات، استرخ، التقط الصور، وتجول بحرية حول الجزيرة.

14.50 وقت الغطس أو سنوركلينج في Phi Phi Don

15.50 التوجه إلى Maiton Island استعد للأنشطة البحرية مثل التزحلق والكياك و ال سنوركلينج

16.40 الاسترخاء و انتظار منظر غروب الشمس في اتجاه العودة الجزيرة بوكيت

--- 18.30 وصول الميناء و بدأ اتجاه العودة للفندق
",https://wa.me/p/8453213394691073/66909277553,https://www.tiktok.com/@musabberg/video/7456476692299664648,11.Whale shark
12,رحلة بي بي بقارب مريح Blanco,Phi Phi,Luxury Trips,,4850,4600,3500,FXT Sevenplus,Full Day,"تجربة ""Blanco : جولة يوم واحد (حول جزيرة بي بي ).

برنامج الرحلة:

✅ 7:00-9:00 التوصيل من فندقك ونقلك إلى ميناء تشالونغ.

✅ 9:30 الترحيب بالضيوف في رصيف تشالونغ.

✅ 10:00 انطلق على قارب Blanco متجهًا إلى جزيرة بي بي.

⚠️ تقديم وجبة فطور خفيفة ومشروبات للضيوف.

✅ وصول إلى جزيرة بي بي ليه، استمتع بجولة بالقارب الصغير في Plie lagoon الزرقاء المحاطة بالجبال الجيرية الشاهقة والكهوف.

✅ زيارة خليج مايا العالمي الشهير الذي ظهر في فيلم ""ذا بيتش""، استرخ على الشاطئ الرملي الأبيض واستمتع بالطبيعة الخلابة.

✅ وصول إلى جزيرة بي بي دون، استمتع بالغداء على الجزيرة واسترخ على الشاطئ.

✅ انطلق في جولة Snorkeling حول جزيرة بي بي دون.

✅ انطلق من جزيرة بي بي دون متجهًا إلى جزيرة مايتون.

✅ استمتع بأنشطة مائية مثل الطوافات والزلاقات والغطس وركوب الألواح، واستمتع بمشاهدة غروب الشمس الرائع على جزيرة مايتون، واستمتع بالشواء والفواكه الموسمية.

✅ 18:30 العودة إلى رصيف تشالونغ.

⭕ السعر شامل:

🔺 جميع الوجبات المقدمة (فطور و غداء)

🔺 المواصلات من والى الفندق جماعية فقط من منطقة باتونج أو کالیم 

🔺 المشروبات الغير كحولية

🔺 الأنشطة المائية

🔺 النقل بالقارب الخشبي التايلندي التقليدي

⚠️ لدرجة أعلى من الخصوصية يمكنك طلب سيارة خاصة من والى الفندق (لقاء مبلغ إضافي) أو يمكننا مشاركة موقع الميناء معكم و الذهاب بتاكسي
",https://wa.me/p/7271663626268276/66909277553,https://vt.tiktok.com/ZSM3oE4Ew/,12.Blanco
13,رحلة بي بي بقارب انديجو (برنامج فخم),Phi Phi,Luxury Trips,,4850,4600,3500,FXT Sevenplus,Full Day,"⚠️ الأوقات قد تتغيّر حسب موقع الفندق وحالة الطقس، والجدول أدناه إرشادي.
⚠️ يُرجى الالتزام بموعد التجميع من الفندق لضمان سلاسة الرحلة.

✅ البرنامج يشمل: 
مياه ومشروبات غازية
فواكه موسمية
بوفيه غداء تايلندي
وجبات خفيفة & شواء
منشفة شاطئ
قناع وأنبوب سنوركلينج (استخدام لمرة واحدة)
جولة قارب خشبي في لاجون بيله
رسوم الحديقة الوطنية
تأمين سفر 
نقل ذهاب وعودة في بوكيت.

⭕ البرنامج:
09:30 – التوصيل من الفندق
سيارة مخصّصة تجمع الضيوف من فنادقهم (يختلف التوقيت حسب موقع الفندق).

10:30 – المغادرة من الرصيف إلى جزر بي بي
انطلاق القارب الكاتامران باتجاه جزر بي بي.

12:00 – بوفيه غداء على متن القارب
الاستمتاع بغداء تايلندي فاخر في مياه جزيرة بي بي.

12:30 – جولة بالقارب الخشبي إلى “الخليج الأخضر”
التقاط صور خلابة والاستمتاع بالمناظر الطبيعية للجزر.

13:10 – خليج مايا
وقت حر على الشاطئ والرمال البيضاء.

14:10 – موقع السنوركلينج بالقرب من بي بي
تجربة الغوص السطحي للمرة الأولى.

15:10 – الإبحار نحو جزيرة مايتون
العودة إلى القارب والتوجّه إلى مايتون.

16:00 – جزيرة مايتون
الاستمتاع بالزحاليق المائية، الكاياك، المسابح القابلة للنفخ، والسنوركلينج للمرة الثانية.

17:00 – بدء رحلة العودة
تقديم مشروبات غازية وفواكه خفيفة على متن القارب.

17:40 – الوصول إلى الرصيف
النزول من القارب؛ العودة إلى الفندق، خاتمين يومًا لا يُنسى.

قد يتم تعديل ترتيب الأنشطة أو توقيتها يوم الرحلة بحسب الظروف الجوية والبحرية.",https://wa.me/p/9556878857721917/66909277553,,13 Indigo
14,رحلة جزيرة بي بي بقارب بيرلو Perllo,Phi Phi,,,5050,4800,3700,Fantasy SeaTrip,Full Day,"رحلة بحرية ليوم واحد إلى جزيرتي بي بي ومايتون
على متن يخت الكاتاماران الفاخر بيرلو Perllo
---
💰 الأسعار
البالغ: 4700 بات تايلندي (THB)
الطفل (من 4 إلى 11 سنة تقريبًا): 4300 بات تايلندي (THB)
---
🗺️ البرنامج التفصيلي للرحلة
07:00 – 08:00 | استقبال من الفندق بسيارة فان مكيّفة والتوجه إلى رصيف Visit Panwa.
09:00 | الوصول إلى الرصيف، التسجيل، وتناول إفطار خفيف (شاي/قهوة + فواكه طازجة).
09:30 | الصعود إلى متن اليخت الفاخر  Perllo والانطلاق نحو جزر بي بي.
11:40 | التوقف الأول للغطس السطحي (سنوركلينج) في محيط جزر بي بي؛ مشاهدة الشعب المرجانية والأسماك الملونة.
12:30 | تناول غداء بوفيه متنوّع على متن اليخت.
13:30 | جولة سياحية تتضمن:
زيارة كهف ڤايكنج
التوجه بقارب ذيل طويل إلى مايا باي للسباحة أو الاسترخاء على الشاطئ
(ملاحظة: في شهري أغسطس وسبتمبر، عند إغلاق خليج مايا، تتم المشاهدة من على متن اليخت فقط)
15:30 | الإبحار إلى جزيرة مايتون.
16:50 | محاولة لرؤية الدلافين (إن وُجدت) + جلسة سنوركلينج ثانية.
تتوفر أنشطة ممتعة مثل: الزحلوقة المائية، الكاياك، ولوح التجديف (SUP).
17:40 | استراحة شاي عند الغروب، تتضمن:
سوشي وساشيمي
فواكه موسمية
مشروبات خفيفة
18:00 | العودة إلى رصيف Visit Panwa ثم النقل إلى الفندق.
---
✅ السعر يشمل:
النقل من/إلى الفندق (داخل جزيرة بوكيت)
إفطار خفيف، غداء بوفيه، وسناكات عند الغروب
فواكه طازجة، مياه للشرب، ومشروبات غازية
معدات السنوركل (قناع وأنبوب) ومنشفة
سترات نجاة + دليل سياحي محترف
استخدام قارب ذيل طويل إلى مايا باي
رسوم دخول متنزه جزر بي بي الوطني
تأمين سفر شامل
---
❌ غير مشمول:
الإكراميات والمصاريف الشخصية
أي خدمات إضافية غير مذكورة أعلاه
---
👜 ننصح بإحضار:
بدلة سباحة – نظارة شمسية – قبعة
كريم واقٍ من الشمس – شبشب أو صندل
كاميرا أو GoPro لتوثيق اللحظات
مبلغ نقدي بسيط للطوارئ
---
⚠️ ملاحظات هامة:
لا يُسمح بالمشاركة للفئات التالية:
السيدات الحوامل
مرضى القلب أو ارتفاع ضغط الدم
من يعانون من الربو أو آلام الظهر المزمنة
من تجاوزوا عمر 65 سنة
الأطفال أقل من سنة واحدة
---
🚤 عن القارب:
يخت كاتاماران فاخر مجهز بمنزلق مائي ومساحات داخلية وخارجية مريحة، تشمل:
صالون مكيف
منصة تشمس واسعة
دورات مياه فاخرة
رحلة مخصصة لعشاق الراحة والاستجمام مع لمسة من المغامرة.",https://wa.me/p/24579924441614864/66909277553,https://www.tiktok.com/@musabberg/video/7525001213532966152,14.Perllo
15,يخت Hype Yacht برنامج بي بي (برنامج فخم),Phi Phi,Luxury Trips,,8500,8000,6800,Hype Yacht,Full Day,"⚠️ ممنوع اصطحاب أطفال تحت ٦ سنوات
⚠️ رابط فيديو القارب في الاسفل 
⚠️ تعديل تاريخ أو إلغاء هذا البرنامج يحتاج الأخطار ٧٢ ساعة قبل تاريخ الرحلة.

✅ 4000 بات سعر الغرفة VIP Capin
✅ 5000 بات سعر Master Suite 

⭕ البرنامج: 

10:30 – الصعود على متن القارب
الوصول إلى مرسى رويال بوكيت مارينا لبدء رحلتكم.

11:00 – الانطلاق
استمتع بمشروب ترحيبي ومنشفة منعشة أثناء الإبحار.

13:00 – خليج مايا – الغوص
اكتشف الشعاب المرجانية و الاسماك الملونة والعجيبة تحت الماء في جزر في في باستخدام معدات الغوص.

13:30 – الغداء
استمتع بوجبة غداء فاخرة وسط البحر مع إطلالات خلابة لا تُنسى.

14:30 – شاطئ مايا
استمتع بالسير على الرمال البيضاء الناعمة لشاطئ مايا الشهير عالميًا.

15:30 – لاجون بي ليه
اندهش من جمال المياه الصافية المحاطة بالمنحدرات الجيرية الشاهقة.

16:15 – شاطئ القرود
عيش تجربة فريدة مع القرود المرحة في بيئتها الطبيعية.

17:00 – الإبحار عند غروب الشمس
استرخِ، وتناول مشروبك، وارقص بينما تشاهد غروب الشمس الساحر.

19:00 – العودة
الوصول إلى مرسى رويال بوكيت مارينا، وإتمام رحلتكم التي لا تُنسى.
",https://wa.me/p/8337717449663122/66909277553,https://vt.tiktok.com/ZS6jHWDb7/,15.Hype Yacht
1,رحلة جيمس بوند بالقارب الكبير - جودة عادية,James Bond,Economy Trips,Family Trips,1300,,1000,BB Sealion,Full Day,"✅ برنامج جيمس بوند بالقارب الكبير (الجودة العاديه)

*10:00*: الاستقبال من الفندق والانتقال إلى ميناء Ao Po Pier.

*11.30*: الإبحار من Ao Po Pier إلى جزيرة Panak وجزيرة Hong للاستمتاع بغابات المانغروف الخلابة.

*12.30*: زياره كهوف Panak عن طريق المراكب المطاطيه.

- تناول غداء على شكل بوفيه مفتوح أثناء الرحلة. 

- التجول لزيارة جزيرة James Bond حيث تم تصویر فیلم The Man with The Golden Gun وKhao Ping Kan

- الاستمتاع بالسباحة والاسترخاء بالقرب جزيرة Lawa أو Naka Island.
",https://wa.me/p/8662457197152850/66909277553,https://www.instagram.com/reel/CpN9oWghq-m/?%20igshid=YmMyMTA2M2Y=,1.قارب الكبير - جودة عادية
2,جيمس بوند بالقارب speed boat - جودة اقتصادية,James Bond,Economy Trips,,1500,,1200,JB Andaman,Full Day,"✅ البرنامج

*07:00 - 08:30*: الاستلام من الفندق والنقل إلى رصيف Ao .Po

*09:30*: المغادرة من الرصيف إلى خليج Phang Nga بواسطة القارب السريع.

*10:00*: استكشاف جزيرة Panak.

*10:45*: الاستمتاع بالتجديف في جزيرة Hong.

*11:30*: زيارة جزيرة James Bond و Khao Ping Kan.

*12:30*: تناول بوفيه غداء رائع في قرية Ko Panyee البحرية.

*14:00*: الوصول إلى جزيرة Naka للسباحة والاسترخاء على الشاطئ.

*16:00*: الوصول إلى رصيف Ao Po والنقل من الرصيف إلى الفندق.

⚠️ السعر شامل:

- وجبة الغداء و والمشروبات 
- التوصيل من والى الفندق (فقط مناطق التغطية)
- رسوم دخول المحميات

🌟 سياسة إلغاء أو تبديل الرحلات 🌟

🔺 إلغاء أو تعديل حجز الرحلات قبل تاريخ الرحلة ب 24 ساعة مسترد 100% أقل من 24 ساعة غير مسترد.

🔺 الامطار ليست سبب لإلغاء الرحلات في جنوب تایلاند؛ تلغی الرحلات في حال حدوث فيضان أو زادت سرعة الرياح عن 25 عقدة على أن يكون الأمر صادر من السلطات التايلاندية.

🔺 تاجيل الرحلة لتاريخ اخر بعد الساعة 18.00 مساءا قبل تاريخ الرحلة يتم تغريم قيمة المواصلة ويتم تحديد قيمتها من جهة المنفذ.

🔺 في حال تغيير تاريخ الرحلة لا يمكن إلغاؤه وهو غير مسترد.

🔺 في حالة المرض لا قدر الله يجب تقديم تقرير طبي معتمد من أحد المستشفيات التايلاندية لاسترداد المبلغ طبقا للوائح السياحية التايلاندية.",https://wa.me/p/8542661829150639/66909277553,,2.speed boat - جودة اقتصادية
3,جيمس بوند بالقارب الكبير نورينا,James Bond,Economy Trips,,1600,,1200,Nureena Phuket,Afternoon – Evening,"البرنامج (بالقارب الكبير)


✅ السعر

⚠️ البالغ/1600
⚠️ الطفل/1300



✅ 8:30 - 8:45 صباحاً

⚠️ التحرك من الفندق والتوجه إلى الرصيف البحري.



✅ 10:00 صباحاً

⚠️ الوصول إلى رصيف Ao Por.

⚠️ التجديف بالكاياك في جزيرة Hong وسط مناظر طبيعية خلابة.

⚠️ زيارة جزيرة جيمس بوند وجزيرة Khao Ping Kan. خذ وقتك لتترك انطباعاً، التقط صوراً رائعة وتسوق للهدايا التذكارية وغيرها.

⚠️ تناول وجبة غداء لذيذة على متن القارب.

⚠️ التجديف، أو استخدام سجادة الطفو أو لوح التجديف في جزيرة Panak، التجديف في كهف الخفافيش، كهف الألماس، كهف أشجار المانغروف، كهف الآيس كريم أو غيرها حسب الطقس.

⚠️ أنشطة تعليمية لصنع الحلويات التايلاندية.

⚠️ السباحة أو التجديف بنفسك والاسترخاء في جزيرة Naka.



✅ 6:30 مساءً

⚠️ مشاهدة غروب الشمس أثناء العودة إلى الرصيف والنقل إلى الفندق.",https://www.whatsapp.com/product/9837027426390001/66909277553/?app_absent=0,,3.Nureena big boat
4,رحلة جيمس بوند بالقارب الكبير - جودة متوسطة,James Bond,Family Trips,,2050,,1500,Great Andaman,Full Day,"✅ أطفال 2 - 10 سنة

1500THB / الطفل

*برنامج الرحلة*

*09.50*: الانطلاق من فندقكم. الانطلاق من الفندق صوب الميناء .

*11.10*: الانطلاق من الميناء صوب خليج بانجا

*12.35*: زيارة كهوف هونج بالقوارب المطاطية

*13.35*: الغداء على متن القارب تناول وجبة الغداء من البوفيه أثناء الرحلة.

*14.30*: جزيرة باناك: استمتع بمشاهدة جزيرة باناك وقضاء وقت ممتع في السباحة و الالعاب المائيه

*15.35*: زيارة صخرة جيمس بوند للتصوير

*17.45*: وصول الميناء ومن ثم إلى الفندق

*ملاحظة: قد يتم تغيير البرنامج حسب الأحوال الجوية والمد.*

✅ الجولة تشمل :

- مرشد يتحدث الإنجليزية

- الالعاب المائيه

- نقل ذهابًا وإيابًا

- مياه شرب ووجبات خفيفة ومشروبات غازية

- غداء من البوفيه على متن القارب (طعام حلال)

- سترة النجاة

- التأمين

- ركوب القوارب الكانوي مع المجداف

⚠️ يرجى ملاحظة:

السعر لا يشمل الاستلام من خارج منطقة باتونغ.",https://wa.me/p/27474932298817852/66909277553,,4.قارب الكبير - جودة متوسطة
5,رحلة جيمس بوند Speed Catamaran - جودة عادية,James Bond,Economy Trips,,2100,1800,1500,BB Sealion,Full Day,"*09:30* : وقت المغادرة من رصيف أو بور . جولة في جزيرة باناك

. استمتع بركوب القوارب بين غابات المانجروف في جزيرة هونج.

. استمتع بالمشاهدة والدهشة من الصخور التي تشبه سكوبي دو في جزيرة هونج.

. قم بزيارة جزيرة جيمس بوند وجزيرة كاو بينج كان.

. استمتع بوجبة غداء رائعة في جزيرة باني.

. استكشف مغارة الآيس كريم أو مغارة الألماس. 

.وصول إلى جزيرة ناكا للسباحة والاسترخاء.

*16:30* : العودة للميناء
",https://wa.me/p/8695716790507504/66909277553,https://www.instagram.com/p/CZS88zQLjIU/?%20igshid=YmMyMTA2M2Y=,5.Speed Catamaran - جودة عادية
6,جيمس بوند بقارب Power Catamaran - جودة متوسطة,James Bond,Economy Trips,,3100,2700,2100,Sawanu,Full Day,"* جزيرة جيمس بوند (رحلة يوم واحد)
*09:45* : تسجيل الوصول في الميناء (نقطة تسجيل فاخرة).
*10:15* : المغادرة من الميناء.
*11:00* : ركوب القوارب في جزيرة هونج.
*12:00* : زيارة منطقة المشاهدة في جزيرة جيمس بوند.
*13:00* : جولة في جزيرة باني.
*13:10* : تناول وجبة الغداء في جزيرة باني.
*14:40* : جولة في جزيرة باناك.
*15:10*: الاسترخاء على شاطئ جزيرة ناكا.
*16:20* : الاسترخاء على شاطئ جزيرة رانج ياي.
*17:30* : الوصول إلى الرصيف.
⚠️ قارب Power Catamaran من أحدث القوارب الموجوده في جزيره بوكيت يمتاز بجلسته المريحه نسبياً مقارنة بنظراؤه من القوارب وإمكانية الاستمتاع بالمنظر أثناء الجلوس عكس باقي القوارب المشابهه",https://wa.me/p/9093462327355311/66909277553,,6.Power Catamaran - جودة متوسطة
7,�رحلة جيمس بوند – غروب الشمس والبلانكتون المضيء (قارب كبير),James Bond,,,3200,2500,1690,Sri Thara James Bond,Afternoon – Evening,"🌅 رحلة جيمس بوند – غروب الشمس والبلانكتون المضيء (قارب كبير)
James Bond Sunset Plankton – By Big Boat
💰 السعر
👤 الكبار: 3,200 THB
🧒 الأطفال (4–11 سنة): 2,200 THB
👶 الرُضَّع (0–3 سنوات): مجانًا

📝 نبذة عن الرحلة
رحلة مسائية مميزة إلى جزيرة جيمس بوند بخليج فانغ نغا على قارب كبير ومريح ⛴️
تشمل:
✨ استكشاف الكهوف
✨ التوقف على الشواطئ
✨ عشاء وقت الغروب
✨ جولة كانو بين الجزر
✨ مشاهدة البلانكتون المضيء في المياه
رحلة مناسبة للعائلات ومحبي التصوير 📸

📍 البرنامج (Itinerary)
🕒 13:30 – المغادرة من المرسى Ao Por Pier
🍪 14:00 – وجبة خفيفة على متن القارب
🏝️ 14:30 – جزيرة Panak Island
نزول لاستكشاف الكهف سيرًا على الأقدام
🎬 15:30 – جزيرة جيمس بوند James Bond Island
زيارة منطقة التصوير الشهيرة
🏖️ 16:30 – شاطئ Na Care Beach
سباحة + استرخاء
🍽️ 18:00 – عشاء على متن القارب + مشاهدة الغروب
🛶 19:00 – جزيرة Hong Island
جولة كانو داخل الكهوف البحرية + مشاهدة البلانكتون
🚤 21:00 – العودة للمرسى ثم النقل إلى الفندق
⚠️ قد تتغيّر المواعيد حسب حالة الطقس والمد والجزر.

✅ السعر يشمل
🍱 وجبتان (وجبة خفيفة + عشاء)
🍹 مشروب ترحيبي
🍉 فواكه موسمية
☕ شاي + قهوة + مشروبات غازية
🛶 جولتان كانو (Canoeing)
🎟️ رسوم دخول الحديقة الوطنية
🛡️ تأمين سفر أساسي
📱 حقيبة ضد الماء للهاتف
👨‍✈️ مرشد سياحي
🚐 انتقالات ذهاب وعودة من/إلى الفندق (مناطق محددة)
⚓ رسوم المرسى

❌ السعر لا يشمل
🥤 طلبات خاصة أو مشروبات إضافية
💁‍♂️ إكراميات الطاقم (اختياري)
🚐 رسوم نقل إضافية من بعض المناطق البعيدة
🚐 مناطق الاستقبال (Pick-up)
🆓 نقل مشترك مجاني من معظم مناطق بوكيت:

📍 بوكيت تاون – تشالونغ – كاتا – كارون – باتونغ – كاليم – ناكالاي – كامالا – بانغتاو – سورين – لايان – لاجونا – بوانت يامو…

💵 رسوم إضافية من مناطق:
📍 ناي يانغ – مطار بوكيت – ماي خاو – سيراي باي

⏰ وقت الالتقاط: بين 11:30 – 12:30 ظهرًا (يتم تأكيده بعد الحجز)

⚠️ تعليمات السلامة
🚫 ممنوع للحوامل
🚫 غير مناسب للأطفال أقل من سنة
🚫 غير مناسب لمرضى العمود الفقري أو الانزلاق الغضروفي
🚫 ممنوع لمرضى القلب أو الحالات الصحية الخطيرة
🚫 غير مناسب لمن يخافون من الظلام أو الأماكن الضيقة (الكهوف)

🎒 ماذا تحضر معك؟
👙 ملابس سباحة
📸 كاميرا أو موبايل
🌞 كريم شمس صديق للبيئة
🧢 قبعة / حجاب سباحة
🕶️ نظارة شمس
💵 بعض النقود للمصاريف الخاصة",https://wa.me/p/25247505158191663/66909277553,,07.البلانكتون المضيء (قارب كبير)
8,رحلة جيمس بوند بقارب Seanery cruise (برنامج يوم كامل فاخر),James Bond,Luxury Trips,,4150,3850,2950,Seanrey,Full Day,"🌟 رحلة خليج بانغ نا على متن سفينة Seanery cruise 🌟

⚠️ أوقات التجميع من الفندق والبرنامج قد تتغيّر حسب الموقع وحالة الطقس.
⚠️ يُرجى الحضور إلى نقطة التجمع في الوقت المحدد لضمان سلاسة الرحلة.
⚠️ العودة إلى الفندق مشمولة في نهاية اليوم.

⭕ البرنامج:

9:30 – الانطلاق من الفندق...
سيارة مخصّصة تجمع الضيوف من فنادقهم (يختلف التوقيت حسب موقع الفندق).

10:45 – تسجيل الوصول في الرصيف...
استقبال من المرشد، تسليم أساور المعصم، وشرح موجز لمسار اليوم.

11:30 – الانطلاق إلى جزيرة ناكا...
ابدأ رحلتك بمشروب ترحيبي على متن القارب.

12:00 – الاسترخاء والسباحة في جزيرة ناكا...
أنشطة مائية متنوعة: زحليقة مائية، أحواض سباحة، ألواح تجديف، وطوافات عائمة.

12:45 – بوفيه غداء تايلندي فاخر...
بوفيه يشمل مأكولات تايلندية وصينية ويابانية مع مشروبات غازية غير محدودة.

14:30 – التجديف داخل كهوف البحر...
استكشف كهف جزيرة هونغ المحاط بتشكيلات الحجر الجيري الخلابة (تجديف بقارب محلي).

16:00 – استكشاف جزيرة جيمس بوند...
زيارة “كاو بينغ كان” والبرج الكارستي الشهير “جزيرة جيمس بوند” في وقت مثالي بعيداً عن الزحام.

17:00 – الإبحار عائداً إلى الرصيف...
مشروب منعش ومنشفة باردة عند العودة إلى القارب.

17:30 – عشاء بوفيه خفيف...
يُقدَّم بوفيه عشاء خفيف على متن القارب.

18:00 – حفلة دي جي بإضاءة وصوت...
استمتع بالرقص مع نظام إضاءة وصوت كامل ودي جي حيّ بينما تُبحر عبر مناظر خليج بانغ نا الساحرة.

19:00 – الوصول إلى الرصيف...
النزول من القارب؛ تنقلك الحافلة مباشرة إلى الفندق، خاتمين يومكم بذكريات لا تُنسى.

*ملاحظة:* قد تتغير هذه البرامج بناءً على الأحوال الجوية وظروف البحر.

🌟 سياسة إلغاء أو تبديل الرحلات 🌟

🔺 إلغاء أو تعديل أو تبديل التاريخ حجز الرحلات قبل تاريخ الرحلة 72 ساعة مسترد 100 أقل من 72 ساعة غير مسترد.

🔺 الامطار ليست سبب لإلغاء الرحلات في جنوب تایلاند، تلغی الرحلات في حال حدوث فيضان أو زادت سرعة الرياح عن 25 عقدة على أن يكون الأمر صادر من السلطات التايلاندية.

🔺 القارب لا يستضيف افراد أقل من 12 سنة

🔺 في حال تغيير تاريخ الرحلة لا يمكن إلغاؤه وهو غير مسترد.

🔺 في حالة المرض لا قدر الله يجب تقديم تقرير طبي معتمد من أحد المستشفيات التايلاندية لاسترداد المبلغ طبقا للوائح السياحية التايلاندية ،⚠️ على أن يكون مسترد فقط لصاحب الحالة المرضية و ليس المرافقين",https://www.whatsapp.com/product/8710901432356237/66909277553/?app_absent=0,https://www.instagram.com/reel/DLFx_D-y4do/?igsh=MWFqeTcyeDV5Nmdodw%3D%3D,8.Seanery Join cruise
9,رحلة جيمس بوند بقارب Surprise Catamaran - جودة عالية,James Bond,Luxury Trips,,3900,3500,2400,Andaman Surprise,Full Day,"⚠️ حد أقصى 30 راكب

08:15 - 09:15 ترحيب حار من فريق ""أندامان سربرايز"" والاستمتاع بوجبة إفطار خفيفة مجانية ومجموعة متنوعة من المشروبات في الصالة.

09:20 المغادرة إلى جزيرة جيمس بوند.

10:30 استكشاف الكهوف: متعة المشي واستكشاف الكهوف التي تم اكتشافها منذ أكثر من 100 عام، مثل ""كهف الآيس كريم"" أو ""كهف المانغروف"".

نشاط التجديف: الاسترخاء أثناء التجديف للاستمتاع بعجائب الطبيعة المليئة بالصواعد والهوابط بأشكال مختلفة.

جزيرة هونغ: جزيرة جيمس بوند، مکان مشهور في جميع أنحاء العالم. هذا هو موقع تصوير فيلم جيمس بوند 007 الرجل ذو المسدس الذهبي"" في عام 1974.

الغداء في جزيرة بانجي: وقت لتناول غداء لذيذ في قرية بانجي الإسلامية، التي يعيش سكانها هناك ببناء مساكنهم على جزيرة بانجي منذ مئات السنين.

نادي بالم بيتش: مجمع ترفيهي فريد على أراضي شاطئ خاص يجمع بين الطبيعة البكر.

18:30 الوصول إلى صالة ""أندامان سربرايز"" والنقل إلى الفندق.
",https://wa.me/p/8673342542680683/66909277553,https://www.instagram.com/reel/C3-pcg8vMSN/?igsh=d3V0bDJsOXR5Y2hk,9.Surprise Catamaran - جودة عالية
10,جيمس بوند بالقارب مكيف الهواء,James Bond,Luxury Trips,Family Trips,3950,3600,2800,Yacht Master,Full Day,هذا البرنامج مصمم للباحثين عن الاستجمام والراحه القارب مكون من طابقين الطابق السفلي بمقصوره مكيفه الهواء هذا القارب يتميز بنظام جلساته المريحه حيث يمكنك ان تستلقي بشكل رائع في مقدمه القارب وانت تشاهد ثاني اجمل محميه طبيعيه في مملکه تایلاند وما يميز هذا البرنامج ايضا انه يتحرك متاخر فيمكنك ان تاخذ قسط كافي من النوم ولا تحتاج للاستيقاظ مبكر كما يعطي میزه كبيره في زياره النقاط متاخر وهي شبه خاويه من السواح فيمكنك ان تستمتع بالمكان الزيارات في هذا البرنامج محدوده فتقوم فقط بزياره صخره جيمس بوند وتقوم ايضا بزیاره مجموعه كهوف هونغ الشهيره,https://wa.me/p/7954205217991102/66909277553,https://vt.tiktok.com/ZSYVDpDuQ/,10.قارب مكيف الهواء
