S,Trip Name,Supplier,Destination,Motion Sickness,Weather Sensitivity,Children Eligibility,Action Adrenaline,"Romantic/
Honeymoon",Smoker Friendly,Price Range,Lunch,Stop/Act.,Duration,Time,Act. Type,Quality,Serivce Onboard,Stability,Mobility,Boat View,Water Act.,No. of PAX,Longtail Boat,Sell PRC Ad.,Net PRC Ad.,Sell PRC Ch.,Net PRC Ch.,Min. Markup,National Park,Short Description,WhatsApp Catalog Link,Video,Album,Note
5,رحلة جيمس بوند Speed Catamaran - جودة عادية,BB Sealion,James Bond,Low,Moderate,3+,Moderate,Low,Conditional,2000-3500 THB,Island,5,Full Day,Morning,Sea Trip,Economy,Low,Moderate,Low,No View,None,30-60,None,2100,1500,,,,,"*09:30* : وقت المغادرة من رصيف أو بور . جولة في جزيرة باناك

. استمتع بركوب القوارب بين غابات المانجروف في جزيرة هونج.

. استمتع بالمشاهدة والدهشة من الصخور التي تشبه سكوبي دو في جزيرة هونج.

. قم بزيارة جزيرة جيمس بوند وجزيرة كاو بينج كان.

. استمتع بوجبة غداء رائعة في جزيرة باني.

. استكشف مغارة الآيس كريم أو مغارة الألماس. 

.وصول إلى جزيرة ناكا للسباحة والاسترخاء.

*16:30* : العودة للميناء
",https://wa.me/p/8695716790507504/66909277553,https://www.instagram.com/p/CZS88zQLjIU/?%20igshid=YmMyMTA2M2Y=,5.Speed Catamaran - جودة عادية,
6,جيمس بوند بقارب Power Catamaran - جودة متوسطة,Sawanu,James Bond,Low,Moderate,1+,Low,Normal,Conditional,2000-3500 THB,Island,6,Full Day,Morning,Sea Trip,High End,Moderate,Moderate,Low,Partial,Basic,30-60,None,3100,2100,,,,,"* جزيرة جيمس بوند (رحلة يوم واحد)
*09:45* : تسجيل الوصول في الميناء (نقطة تسجيل فاخرة).
*10:15* : المغادرة من الميناء.
*11:00* : ركوب القوارب في جزيرة هونج.
*12:00* : زيارة منطقة المشاهدة في جزيرة جيمس بوند.
*13:00* : جولة في جزيرة باني.
*13:10* : تناول وجبة الغداء في جزيرة باني.
*14:40* : جولة في جزيرة باناك.
*15:10*: الاسترخاء على شاطئ جزيرة ناكا.
*16:20* : الاسترخاء على شاطئ جزيرة رانج ياي.
*17:30* : الوصول إلى الرصيف.
⚠️ قارب Power Catamaran من أحدث القوارب الموجوده في جزيره بوكيت يمتاز بجلسته المريحه نسبياً مقارنة بنظراؤه من القوارب وإمكانية الاستمتاع بالمنظر أثناء الجلوس عكس باقي القوارب المشابهه",https://wa.me/p/9093462327355311/66909277553,,6.Power Catamaran - جودة متوسطة,
7,�رحلة جيمس بوند – غروب الشمس والبلانكتون المضيء (قارب كبير),Sri Thara James Bond,James Bond,Low,Low,1+,Low,Normal,Allowed,2000-3500 THB,Onbaord,4,Full Day,Afternoon,Sea Trip,Average,Moderate,High,High,Panoramic,None,>60,None,3200,1690,,,,,"🌅 رحلة جيمس بوند – غروب الشمس والبلانكتون المضيء (قارب كبير)
James Bond Sunset Plankton – By Big Boat
💰 السعر
👤 الكبار: 3,200 THB
🧒 الأطفال (4–11 سنة): 2,200 THB
👶 الرُضَّع (0–3 سنوات): مجانًا

📝 نبذة عن الرحلة
رحلة مسائية مميزة إلى جزيرة جيمس بوند بخليج فانغ نغا على قارب كبير ومريح ⛴️
تشمل:
✨ استكشاف الكهوف
✨ التوقف على الشواطئ
✨ عشاء وقت الغروب
✨ جولة كانو بين الجزر
✨ مشاهدة البلانكتون المضيء في المياه
رحلة مناسبة للعائلات ومحبي التصوير 📸

📍 البرنامج (Itinerary)
🕒 13:30 – المغادرة من المرسى Ao Por Pier
🍪 14:00 – وجبة خفيفة على متن القارب
🏝️ 14:30 – جزيرة Panak Island
نزول لاستكشاف الكهف سيرًا على الأقدام
🎬 15:30 – جزيرة جيمس بوند James Bond Island
زيارة منطقة التصوير الشهيرة
🏖️ 16:30 – شاطئ Na Care Beach
سباحة + استرخاء
🍽️ 18:00 – عشاء على متن القارب + مشاهدة الغروب
🛶 19:00 – جزيرة Hong Island
جولة كانو داخل الكهوف البحرية + مشاهدة البلانكتون
🚤 21:00 – العودة للمرسى ثم النقل إلى الفندق
⚠️ قد تتغيّر المواعيد حسب حالة الطقس والمد والجزر.

✅ السعر يشمل
🍱 وجبتان (وجبة خفيفة + عشاء)
🍹 مشروب ترحيبي
🍉 فواكه موسمية
☕ شاي + قهوة + مشروبات غازية
🛶 جولتان كانو (Canoeing)
🎟️ رسوم دخول الحديقة الوطنية
🛡️ تأمين سفر أساسي
📱 حقيبة ضد الماء للهاتف
👨‍✈️ مرشد سياحي
🚐 انتقالات ذهاب وعودة من/إلى الفندق (مناطق محددة)
⚓ رسوم المرسى

❌ السعر لا يشمل
🥤 طلبات خاصة أو مشروبات إضافية
💁‍♂️ إكراميات الطاقم (اختياري)
🚐 رسوم نقل إضافية من بعض المناطق البعيدة
🚐 مناطق الاستقبال (Pick-up)
🆓 نقل مشترك مجاني من معظم مناطق بوكيت:

📍 بوكيت تاون – تشالونغ – كاتا – كارون – باتونغ – كاليم – ناكالاي – كامالا – بانغتاو – سورين – لايان – لاجونا – بوانت يامو…

💵 رسوم إضافية من مناطق:
📍 ناي يانغ – مطار بوكيت – ماي خاو – سيراي باي

⏰ وقت الالتقاط: بين 11:30 – 12:30 ظهرًا (يتم تأكيده بعد الحجز)

⚠️ تعليمات السلامة
🚫 ممنوع للحوامل
🚫 غير مناسب للأطفال أقل من سنة
🚫 غير مناسب لمرضى العمود الفقري أو الانزلاق الغضروفي
🚫 ممنوع لمرضى القلب أو الحالات الصحية الخطيرة
🚫 غير مناسب لمن يخافون من الظلام أو الأماكن الضيقة (الكهوف)

🎒 ماذا تحضر معك؟
👙 ملابس سباحة
📸 كاميرا أو موبايل
🌞 كريم شمس صديق للبيئة
🧢 قبعة / حجاب سباحة
🕶️ نظارة شمس
💵 بعض النقود للمصاريف الخاصة",https://wa.me/p/25247505158191663/66909277553,,07.البلانكتون المضيء (قارب كبير),
8,رحلة جيمس بوند بقارب Seanery cruise (برنامج يوم كامل فاخر),Seanrey,James Bond,Low,Low,8+,Low,High,Allowed,>3500 THB,Onbaord,3,Full Day,Afternoon,Sea Trip,Luxury,High,High,High,Panoramic,Multiple,>60,None,4150,2950,,,,,"🌟 رحلة خليج بانغ نا على متن سفينة Seanery cruise 🌟

⚠️ أوقات التجميع من الفندق والبرنامج قد تتغيّر حسب الموقع وحالة الطقس.
⚠️ يُرجى الحضور إلى نقطة التجمع في الوقت المحدد لضمان سلاسة الرحلة.
⚠️ العودة إلى الفندق مشمولة في نهاية اليوم.

⭕ البرنامج:

9:30 – الانطلاق من الفندق...
سيارة مخصّصة تجمع الضيوف من فنادقهم (يختلف التوقيت حسب موقع الفندق).

10:45 – تسجيل الوصول في الرصيف...
استقبال من المرشد، تسليم أساور المعصم، وشرح موجز لمسار اليوم.

11:30 – الانطلاق إلى جزيرة ناكا...
ابدأ رحلتك بمشروب ترحيبي على متن القارب.

12:00 – الاسترخاء والسباحة في جزيرة ناكا...
أنشطة مائية متنوعة: زحليقة مائية، أحواض سباحة، ألواح تجديف، وطوافات عائمة.

12:45 – بوفيه غداء تايلندي فاخر...
بوفيه يشمل مأكولات تايلندية وصينية ويابانية مع مشروبات غازية غير محدودة.

14:30 – التجديف داخل كهوف البحر...
استكشف كهف جزيرة هونغ المحاط بتشكيلات الحجر الجيري الخلابة (تجديف بقارب محلي).

16:00 – استكشاف جزيرة جيمس بوند...
زيارة “كاو بينغ كان” والبرج الكارستي الشهير “جزيرة جيمس بوند” في وقت مثالي بعيداً عن الزحام.

17:00 – الإبحار عائداً إلى الرصيف...
مشروب منعش ومنشفة باردة عند العودة إلى القارب.

17:30 – عشاء بوفيه خفيف...
يُقدَّم بوفيه عشاء خفيف على متن القارب.

18:00 – حفلة دي جي بإضاءة وصوت...
استمتع بالرقص مع نظام إضاءة وصوت كامل ودي جي حيّ بينما تُبحر عبر مناظر خليج بانغ نا الساحرة.

19:00 – الوصول إلى الرصيف...
النزول من القارب؛ تنقلك الحافلة مباشرة إلى الفندق، خاتمين يومكم بذكريات لا تُنسى.

*ملاحظة:* قد تتغير هذه البرامج بناءً على الأحوال الجوية وظروف البحر.

🌟 سياسة إلغاء أو تبديل الرحلات 🌟

🔺 إلغاء أو تعديل أو تبديل التاريخ حجز الرحلات قبل تاريخ الرحلة 72 ساعة مسترد 100 أقل من 72 ساعة غير مسترد.

🔺 الامطار ليست سبب لإلغاء الرحلات في جنوب تایلاند، تلغی الرحلات في حال حدوث فيضان أو زادت سرعة الرياح عن 25 عقدة على أن يكون الأمر صادر من السلطات التايلاندية.

🔺 القارب لا يستضيف افراد أقل من 12 سنة

🔺 في حال تغيير تاريخ الرحلة لا يمكن إلغاؤه وهو غير مسترد.

🔺 في حالة المرض لا قدر الله يجب تقديم تقرير طبي معتمد من أحد المستشفيات التايلاندية لاسترداد المبلغ طبقا للوائح السياحية التايلاندية ،⚠️ على أن يكون مسترد فقط لصاحب الحالة المرضية و ليس المرافقين",https://www.whatsapp.com/product/8710901432356237/66909277553/?app_absent=0,https://www.instagram.com/reel/DLFx_D-y4do/?igsh=MWFqeTcyeDV5Nmdodw%3D%3D,8.Seanery Join cruise,
9,رحلة جيمس بوند بقارب Surprise Catamaran - جودة عالية,Andaman Surprise,James Bond,Low,Low,1+,Low,High,Conditional,>3500 THB,Island,5,Full Day,Morning,Sea Trip,Premium,High,Moderate,Low,Wide,Basic,<30,None,3900,2400,,,,,"⚠️ حد أقصى 30 راكب

08:15 - 09:15 ترحيب حار من فريق ""أندامان سربرايز"" والاستمتاع بوجبة إفطار خفيفة مجانية ومجموعة متنوعة من المشروبات في الصالة.

09:20 المغادرة إلى جزيرة جيمس بوند.

10:30 استكشاف الكهوف: متعة المشي واستكشاف الكهوف التي تم اكتشافها منذ أكثر من 100 عام، مثل ""كهف الآيس كريم"" أو ""كهف المانغروف"".

نشاط التجديف: الاسترخاء أثناء التجديف للاستمتاع بعجائب الطبيعة المليئة بالصواعد والهوابط بأشكال مختلفة.

جزيرة هونغ: جزيرة جيمس بوند، مکان مشهور في جميع أنحاء العالم. هذا هو موقع تصوير فيلم جيمس بوند 007 الرجل ذو المسدس الذهبي"" في عام 1974.

الغداء في جزيرة بانجي: وقت لتناول غداء لذيذ في قرية بانجي الإسلامية، التي يعيش سكانها هناك ببناء مساكنهم على جزيرة بانجي منذ مئات السنين.

نادي بالم بيتش: مجمع ترفيهي فريد على أراضي شاطئ خاص يجمع بين الطبيعة البكر.

18:30 الوصول إلى صالة ""أندامان سربرايز"" والنقل إلى الفندق.
",https://wa.me/p/8673342542680683/66909277553,https://www.instagram.com/reel/C3-pcg8vMSN/?igsh=d3V0bDJsOXR5Y2hk,9.Surprise Catamaran - جودة عالية,
10,جيمس بوند بالقارب مكيف الهواء,Yacht Master,James Bond,Low,Low,1+,Low,High,Allowed,>3500 THB,Onbaord,2,Half Day,Afternoon,Sea Trip,Luxury,Moderate,High,High,Panoramic,None,>60,None,3950,2800,,,,,هذا البرنامج مصمم للباحثين عن الاستجمام والراحه القارب مكون من طابقين الطابق السفلي بمقصوره مكيفه الهواء هذا القارب يتميز بنظام جلساته المريحه حيث يمكنك ان تستلقي بشكل رائع في مقدمه القارب وانت تشاهد ثاني اجمل محميه طبيعيه في مملکه تایلاند وما يميز هذا البرنامج ايضا انه يتحرك متاخر فيمكنك ان تاخذ قسط كافي من النوم ولا تحتاج للاستيقاظ مبكر كما يعطي میزه كبيره في زياره النقاط متاخر وهي شبه خاويه من السواح فيمكنك ان تستمتع بالمكان الزيارات في هذا البرنامج محدوده فتقوم فقط بزياره صخره جيمس بوند وتقوم ايضا بزیاره مجموعه كهوف هونغ الشهيره,https://wa.me/p/7954205217991102/66909277553,https://vt.tiktok.com/ZSYVDpDuQ/,10.قارب مكيف الهواء,
11,رحلة جيمس بوند بقارب Seanery الفخم,Seanrey,James Bond,Low,Low,1+,Low,High,Allowed,>3500 THB,Onbaord,3,Full Day,Afternoon,Sea Trip,Luxury,High,High,High,Panoramic,Multiple,>60,None,4550,3430,,,,,"قارب سينيري هي افخم قارب اللي بتطلع على رحلة جيمس بوند القارب مكونة من طابقين ومقاعد مريحة ومتنوعة وخدماتها عالية والشيء الحلو فيه انه بيطلع متأخر , 
عيب الرحلة ان القارب بطيء فلهذا السبب مزاراتها اقل من القوارب السريعة .

تفاصيل الرحلة :
10:00 - 10:30 وصول الباص للفندق ونقلك الى الميناء .
11:00 وصول الميناء ويتم تسجيل اسماء المشاركين في الرحلة مع توزيع الاساور السيليكون . 
11:30 ركوب القارب بيعطوك مشروب ترحيبي (خالي من الكحول) وتستلم المقعد وينطلق القارب لاول محطة في الرحلة .

    اسماء المحطات في الرحلة والانشطة
- (منطقة للالعاب المائية) استمتع بالسباحة ، التزحلق ، الكاياك ، السنوركلينغ . 
- ⁠(وقفة الغداء على متن القارب) استمتع بوجبة الغداء اللذيذ الغداء بتكون على طريقة تايلاندية (حلال) .
- ⁠(كهف هونغ)  استمتع بالطبيعة على القارب المطاطي ودخول الكهف لاستكشاف ما بداخل الكهف وهناك تشكلات صخرية على هيئة حيوانية .
- (جزيرة جيمس بوند) استمتع بالتجول على الجزيرة ، السباحة والتصوير مع الصخرة الشهيرة وهناك محلات تبيع هدايات تذكارية على الجزيرة .
- ⁠(وقفة العشاء على متن القارب) استمتع بوجبة العشاء بوفيه والسوشي (حلال)
- ⁠العودة للميناء وفي طريق العودة بيفتح الموسيقى والديجي (DJ) مع غروب الشمس حتى وصول الميناء .

ملاحظة : الرحلة مناسبة للعوائل وللشباب والرحلة تشمل وجبة الغداء ، عشاء ، المواصلات ذهاب وعودة .",https://www.whatsapp.com/product/26469093052704382/66909277553/?app_absent=0,https://www.instagram.com/reel/C8NUthDSXZO/?igsh=ZmZ1cGd5Y3U2Mnhw,12.Seanery,
1,Krabi Kayaking - التجديف في كرابي,RSA Group (Krabi),Krabi from Krabi,Low,Moderate,8+,High,Moderate,Conditional,<2000 THB,Extra,Custom,3 Hours,Flexible,River Adv.,Economy,,,,,,,None,800,500,,,,,"واحد من أمتع الأنشطة التي يمكنك القيام بها في ولاية كرابي , هو نشاط الكاياك Kayaking إذ يمكنك إستقلال قارب Kayak بمفردك أو فردين إذا شئت, فيمكنك ممارسة التجديف بالقارب وسط الطبيعة المبهرة في غابات المنجروف البحرية و أيضا خلال احد ينابيع المياه 
العذبة. برنامج مناسب للأشخاص المحبين للطبيعة. 

البرنامج الأساسي
مغادرة الفندق في الصباح او بعد الظهر حسب رغبتك متجها إلى الميناء في الميناء يمكنك عمل FISH SPA و إطعام الاسماك, ثم تبدأ بالتجديف من الميناء إلى منطقة KLONG NAMSAI الخلابة, في هذه المنطقة يمكنك التجديف وسط الاشجار و أيضا في نقطة CRYSTAL LAGOON المشهور بمائه الصافي والعذب كما يمكنك السباحة هناك, ومن بعد تقوم بالتجديف عائدا الى الميناء و منه إلى الفندق.

هناك ثلاث مواعيد انطلاق مختلفة منهم وقت غروب الشمس 
هام 
·البرنامج قابل للتغير او الالغاء طبقا لحالة الطقس او لاسباب تنظيمية يمكن تغير او الغاء الرحلة في مدة لا تقل عن 24 ساعة من تاريخ بدا الرحلة و استرداد كامل قيمتها في حالة الالغاء . في حالة الغاء او تغير ميعاد الرحلة في نفس يوم انطلاق الرحلة لا يمكن استرداد اي من قيمة الحجز. الطفل أقل من 12 عام · هذا البرنامج غير مناسب للأطفال أقل من 5 سنوات و الحوامل وكبار السن وممن يعانون أمراض مزمنة · 

يمكنك إضافة نشاط (إطعام الفيله والتصوير) 

يمكنك زيارة غابة المطاط في حال قمت بإضافة نشاط إطعام الفيله 

قبل الالتحاق بالرحلة لا تنس الاتي 
ملابس سباحة واخرى عادية 
كروكس 
مناشف 
رداء مطر 
حافظ بلاستيكي للهاتف 

السعر شامل الاتي 
فقط الفواكه 
المواصلات 
مياه الشرب 
رسوم دخول المحميات الطبيعية 


أسعار الرحلات الجماعية
كاياكينج (تجديف) منطقة Klong Rud

800 THB/ Adult 
600 THB/ Child 

كاياكينج (تجديف) منطقة Ao Thalane
1100 THB/ Adult 
900 THB/ Child 

كاياكينج (تجديف) مع ركوب وإطعام الأفيال
1800 THB/ Adult 
1600 THB/ Child 
البرنامج يضم أيضاً
زيارة مزارع الاناناس 
إطعام الأسماك 
سباحة في Crystal Lagoon  
عمل Fish Spa 


كاياكينج (تجديف) مع ATV 
تراكترون (بيتش باجي)
1800 THB/ Adult 
1600 THB/ Child 
البرنامج يضم أيضاً
زيارة مزارع الاناناس 
إطعام الأسماك 
سباحة في Crystal Lagoon  
عمل Fish Spa
",https://wa.me/p/9144913935553988/66909277553,https://www.instagram.com/reel/Cxv5qSNB8rD/?igsh=ZjdheG41NDk5MW44,01. التجديف في كرابي,
2,رحلة الأربع جزر في كرابي,Aonang Orchard (Krabi),Krabi from Krabi,High,Extreme,8+,Moderate,Low,Conditional,<2000 THB,Island,4,Full Day,Morning,Sea Trip,Economy,Low,Low,Low,No View,None,30-60,None,900,600,,,,Extra 400,"لو متواجد في مدينة كرابي و تبحث عن رحلة بحرية لجزر قريبة, فهذا البرنامج مناسب لك. في هذا البرنامج بمكنك زيارة 4 نقاط بحرية تشمل جزر شاطئية مثالية للسباحة مثل جزر Tup Island و Poda Island ويمكنك زيارة الشاطئ الأشهر على الإطلاق في كرابي شاطئ Railay Beach المشهور بالفنادق والمطاعم والذي يستحيل الوصول اليه إلا عن طريق البحر. 


البرنامج الأساسي 
تبدأ الرحلة من الفندق حوالي الساعة الثامنة و النصف صباحا بواسطة السيارة متجهة صوب الميناء و البداية تكون من جزيرة Tup Island وهناك تقوم بالتصوير والسباحة يليها وقفة بالقرب من جزيرة chicken Island بهدف ممارسة الSnorkeling والزيارة الثالثة في البرنامج هي جزيرة Poda Island المشهورة بمياهها الصافية و رمالها الناعمة و الملائمة للسباحة و الإستجمام ثم تأتي من بعد الزيارة الرابعة لشاطئ Railay و الذي يمكن بلوغه فقط عن طريق البحر يمكنك الإستمتاع بالتجول في شوارع الشاطئ و أيضا لايفوتك زيارة التشكيلات الصخرية الجميلة في الجانب الشرقي من الشاطئ Railay east. 

هام 
·البرنامج قابل للتغير او الالغاء طبقا لحالة الطقس او لاسباب تنظيمية يمكن تغير او الغاء الرحلة في مدة لا تقل عن 24 ساعة من تاريخ بدا الرحلة و استرداد كامل قيمتها في حالة الالغاء . في حالة الغاء او تغير ميعاد الرحلة في نفس يوم انطلاق الرحلة لا يمكن استرداد اي من قيمة الحجز. الطفل أقل من 12 عام · هذا البرنامج غير مناسب للأطفال أقل من 10 سنوات و الحوامل وكبار السن وممن يعانون أمراض مزمنة · 

يمكنك إضافة نشاط 
التجديف (Kayaking) 

لاحظ الفرق بين تنفيذ البرنامج بواسطة Speed boat او Long tail boat 

قبل الالتحاق بالرحلة لا تنس الاتي 
ملابس سباحة واخرى عادية 
كروكس 
مناشف 
رداء مطر 
حافظ بلاستيكي للهاتف 

السعر شامل الاتي 
وجبة الغداء 
المواصلات 
المشروبات على القارب 
غير شامل رسوم دخول المحميات 

القارب الخشبي الخاص 
من الشائع للعرسان في مدينة كرابي ,تنفيذ البرامج البحرية بواسطة القوارب الخشبية الخاصة ذلك يرجع لقرب الجزر النسبي من مدينة كرابي و لإنخفاض تكلفتها إضافة لدرجة الخصوصية العالية و الأجواء الرومانسية. 

لاحظ وجود درجات مختلفة للقوارب الخشبية و أسعار مختلفة , إفحص الصور بالأسفل 

السعر شامل الاتي 

القارب الخشبي الفخم 
وجبة الغداء 
المواصلات 
المشروبات على القارب 
غير شامل رسوم دخول المحميات 

القارب الخشبي العادي 
المواصلات 
المياه و الفاكهة على القارب 
غير شامل رسوم دخول المحميات 
غير شامل وجبة غداء 

أنواع القوارب المختلفة 
Speed boat 
Regular long-tail boat 
Luxury long-tail boat 

أسعار الرحلات الجماعية والخاصة

Long-tail boat 
رحلة جماعية 
900 THB/ Adult 
700THB/ Child 
غير شامل رسوم دخول المحميات 

Speed boat 
رحلة جماعية 
1000 THB/ Adult 
800THB/ Child 
غير شامل رسوم دخول المحميات 

Luxury long-tail boat 
رحلة خاصة 
7500 THB / Boat 
جودة ممتازة 

Regular long-tail boat 
رحلة خاصة 
3500 THB / Boat 
جودة عادية 
غير شامل رسوم دخول المحميات",https://wa.me/p/9003723546384248/66909277553,https://www.instagram.com/reel/C4Th8CmB83K/?igsh=em54bXltdDZidWg1,02. رحلة الأربع جزر في كرابي,
3,البحيرة الزرقاء و الينابيع الحارة Krabi Kungle Tour,RSA Group (Krabi),Krabi from Krabi,Moderate,Moderate,3+,Moderate,Normal,Conditional,<2000 THB,Extra,Custom,Full Day,Morning,Land Adv.,Economy,,,,,,,None,1000,600,,,,Extra 400,"تشتهر ولاية كرابي ليس فقط بالجزر الخلابة لكن الغابات الاستوائية و التي تحوي العديد من الاشياء المميزة على سبيل المثال الينابيع الحارة المحفورة في الصخر و لا يفوتك زيارة البحيرة الزرقاء ,الغابات تضم ايضا واحد من أجمل المعابد في جنوب تايلاند و هو معبد قبضة النمر. يمكنك أيضا القيام بعدة أنشطة هناك مثل ركوب الدراجات الرباعية والكياك إلى جانب إمكانية صعود أحد الجبال و 
الاستمتاع بالمنظر من الأعلى 

البرنامج الأساسي 

تبدا الرحلة من الفندق حوالي الساعة الثامنة و النصف صباحا بواسطة السيارة متجهة صوب غابات Krabi و الزيارة الاولى تكون للينابيع الحارة و البحيرة الزرقاء من بعد ويمكنك السباحة في كلاهما, ثم تقوم بصعود جبل ويمكنك مشاهدة وتصوير البحيرة الزرقاء من الأعلى. إذا لم تشأ إضافة أنشطة أخرى في هذه الحالة تعود إلى الفندق في 
حوالي الساعة الثانية و النصف مساءا. 

أنشطة يمكن اضافتها للبرنامج الاساسي 

بيتش بجي أو التراكترون 
التجديف (Kayaking) 
السباحة مع الأفيال 
ركوب الأفيال 
زيارة معبد قبضة النمر ذو الالف سلمة. 

في حال إضافة أنشطة أخرى يتوقع العودة للفندق بين الخامسة والسادسة مساءا 

ﻫﺎم
·اﻟﺒﺮﻧﺎﻣﺞ ﻗﺎﺑﻞ ﻟﻠﺘﻐﻴﻴﺮ او اﻻﻟﻐﺎء ﻃﺒﻘﺎ ﻟﺤﺎﻟﺔ اﻟﻄﻘﺲ او ﻻﺳﺒﺎب ﺗﻨﻈﻴﻤﻴﺔ
ﻳﻤﻜﻦ ﺗﻐﻴﻴﺮ او اﻟﻐﺎء اﻟﺮﺣﻠﺔ ﻓﻲ ﻣﺪة ﻻ ﺗﻘﻞ ﻋﻦ 24 ﺳﺎﻋﺔ ﻣﻦ ﺗﺎرﻳﺦ ﺑﺪا اﻟﺮﺣﻠﺔ و اﺳﺘﺮداد ﻛﺎﻣﻞ ﻗﻴﻤﺘﻬﺎ ﻓﻲ ﺣﺎﻟﺔ اﻻﻟﻐﺎء . ﻓﻲ ﺣﺎﻟﺔ اﻟﻐﺎء او ﺗﻐﻴﻴﺮ ﻣﻴﻌﺎد اﻟﺮﺣﻠﺔ ﻓﻲ ﻧﻔﺲ ﻳﻮم اﻧﻄﻼق اﻟﺮﺣﻠﺔ ﻻ ﻳﻤﻜﻦ اﺳﺘﺮداد اي ﻣﻦ ﻗﻴﻤﺔ اﻟﺤﺠﺰ.
اﻟﻄﻔﻞ أﻗﻞ ﻣﻦ 12 ﻋﺎم ·
ﻫﺬا اﻟﺒﺮﻧﺎﻣﺞ ﻏﻴﺮ ﻣﻨﺎﺳﺐ ﻟﻸﻃﻔﺎل أﻗﻞ ﻣﻦ 10 ﺳﻨﻮات و اﻟﺤﻮاﻣﻞ وﻛﺒﺎر اﻟﺴﻦ وﻣﻤﻦ ﻳﻌﺎﻧﻮن أﻣﺮاض ﻣﺰﻣﻨﺔ ·

السعر شامل الاتي 
وجبة الغداء (إختياري)
المواصلات 
المشروبات الساخنة 
غير شامل رسوم دخول المحميات 

قبل الالتحاق بالرحلة لا تنس الاتي 
ملابس سباحة واخرى عادية 
كروكس 
مناشف 
رداء مطر 
حافظ بلاستيكي للهاتف 

أسعار الرحلات الجماعية

الينابيع الحارة والبحيرة الزرقاء
Adult/THB 1000
Child/THB 800

الينابيع الحارة والبحيرة الزرقاء ومعبد قبضة النمر
Adult/THB 1200
Child/THB 1000

الينابيع الحارة والبحيرة الزرقاء و ِATV بيتش بجي أو التراكترون 
Adult/THB 1800
Child/THB 1600

الينابيع الحارة والبحيرة الزرقاء و التجديف (Kayaking) 
Adult/THB 1800
Child/THB 1600

الينابيع الحارة والبحيرة الزرقاء و ركوب الأفيال 
Adult/THB 1800
Child/THB 1600

الينابيع الحارة والبحيرة الزرقاء و السباحة مع الأفيال 
Adult/THB 2300
Child/THB 2100
",https://wa.me/p/9979885655371311/66909277553,https://bit.ly/4hswOgk,03. البحيرة الزرقاء و الينابيع الحارة,
